model,train_fcn,delay,layers,mse,train_mse,test_mse
nar,trainscg,40,20,69011.60205987582,42080.1471031114,224472.19868654976
nar,trainscg,40,25,156226.61571081035,151103.80066684366,200303.2649388668
nar,trainscg,40,30,153469.79832966678,126680.75076766935,272367.9166409556
nar,trainscg,40,35,197769.7825395568,114502.10073907088,690091.6558153721
nar,trainscg,40,40,61349.002378462326,29096.78433768087,209827.20674704926
nar,trainscg,40,5,100746.78637913117,94776.3001282163,74689.37121326722
nar,trainscg,5,1,614811.5323964058,620074.3215379876,543055.3327435625
nar,trainscg,5,10,434112.0106165365,383809.380102912,690105.7218978219
nar,trainscg,5,15,1147480.9136575384,1213898.9780933058,751680.0706010037
nar,trainscg,5,20,473683.5897687121,384114.5110650019,1000084.8115140157
nar,trainscg,5,25,322481.2425139413,289099.76074685843,404786.0464370039
nar,trainscg,5,30,407317.9222911869,363486.5661610701,698318.9882287382
nar,trainscg,5,35,453457.8785845493,496267.3012018968,298406.2403379463
nar,trainscg,5,40,467355.83913251385,418911.41689210007,721383.5297217787
nar,trainscg,5,5,762117.6060620737,819013.0420757381,587629.4886044214
narx,trainbr,10,1,135713.5675791604,124552.345069116,197769.96473500718
narx,trainbr,10,10,66009.49838626992,1984.663838661842,421987.5784709706
narx,trainbr,10,15,41568.76748727816,14839.064178655652,190185.91788321926
narx,trainbr,10,20,41689.484275329065,559.2411380472704,270373.6361186159
narx,trainbr,10,25,78347.62439240613,5.684285685502481e-06,513960.4159825797
narx,trainbr,10,30,46999.32957598969,7398.522553957957,267179.81661848625
narx,trainbr,10,35,43819.38691278658,19209.120905571195,180652.46591290415
narx,trainbr,10,40,77146.94789426052,74017.50080956357,94546.67368517537
narx,trainbr,10,5,33006.430144445425,23298.5468749336,86982.26112293126
narx,trainbr,15,1,86649.58481725052,89278.35712003162,71862.74061410686
narx,trainbr,15,10,38287.29650298315,1.618363550300507e-24,253653.33933226328
narx,trainbr,15,15,48558.55653892828,5330.331315708582,291717.32341953897
narx,trainbr,15,20,39648.85944716404,1.0962030595284626e-09,262673.6938374554
narx,trainbr,15,25,14375.242517967868,3.4032826918724e-11,95235.98168153696
narx,trainbr,15,30,86909.54428824298,82299.29820187633,112842.17852405511
narx,trainbr,15,35,85905.67052684804,89442.24561596896,66012.4356505427
narx,trainbr,15,40,92319.44249461908,80825.63168912673,156972.12827551362
narx,trainbr,15,5,28842.27674062892,12522.347535734074,120641.87851816234
narx,trainbr,1,1,422115.5873118192,409505.3442447935,493411.9615753901
narx,trainbr,1,10,350911.1466548628,311337.9475961507,574651.9259483509
narx,trainbr,1,15,353560.5576404177,346872.7883416541,391372.17636804417
narx,trainbr,1,20,290502.539153552,260973.39067430844,457455.801709275
narx,trainbr,1,25,286334.4102460986,302604.0351513983,194348.45405075012
narx,trainbr,1,30,287215.7620893605,297298.28596290963,230210.7232658329
narx,trainbr,1,35,296092.03100773256,266438.1305983349,463750.62178394257
narx,trainbr,1,40,202525.29430299028,108653.2736889443,733263.2570054813
narx,trainbr,1,5,421184.4813551957,415621.5287316567,452636.5596498186
narx,trainbr,20,1,71299.88503184804,72060.76444882556,66966.18052645425
narx,trainbr,20,10,14515.801558588726,4.2988912480518285e-12,97192.75826185496
narx,trainbr,20,15,37923.17141511292,6513.957651935793,216819.12806625228
narx,trainbr,20,20,57993.89907423657,54602.99447457402,77307.31222883632
narx,trainbr,20,25,30971.53261189366,1.5300473448798131e-24,207374.60966224453
narx,trainbr,20,30,58636.45480204013,40977.65249226826,159214.85056639294
narx,trainbr,20,35,28657.291170243243,3295.4437962192187,173109.552300554
narx,trainbr,20,40,60840.474556417474,58647.73665059508,73329.5469765366
narx,trainbr,20,5,35942.79859401577,17102.777282562183,143249.00693316467
narx,trainbr,25,1,63021.177024942976,56812.785612989246,98860.52744849428
narx,trainbr,25,10,19049.400802522,3.956509774730963e-10,129016.39634435125
narx,trainbr,25,15,62886.863137957385,56617.32988714909,99079.1687221689
narx,trainbr,25,20,62168.47459571063,57203.9658431884,90827.22966708896
narx,trainbr,25,25,60249.554610457424,60917.679295067785,56392.65302202485
narx,trainbr,25,30,50074.786576946026,41149.9860347878,101595.22607031412
narx,trainbr,25,35,61289.944137905055,60042.183449529824,68492.92629352558
narx,trainbr,25,40,41558.04791379602,36500.72164435372,70752.6131964858
narx,trainbr,25,5,26190.97423981342,2.410944121853539,177370.4078103966
narx,trainbr,30,1,63043.316451076746,53194.063320910616,117661.90199108893
narx,trainbr,30,10,22313.261714711338,4.8171309069700926e-11,146050.44031447408
narx,trainbr,30,15,30604.092340377643,1.1488527168866922e-11,200317.6953188355
narx,trainbr,30,20,61471.582462830804,54018.55692643408,102801.99680103068
narx,trainbr,30,25,42857.243295795495,35781.35183555521,82096.2777571282
narx,trainbr,30,30,52019.29189623982,39834.762370302116,119588.04654007625
narx,trainbr,30,35,59795.94064679673,57440.313208118525,72858.96553401227
narx,trainbr,30,40,61906.95729723714,55068.3007595342,99830.41627904438
narx,trainbr,30,5,42909.23139737477,8.123489929631936e-25,280860.4236919076
narx,trainbr,35,1,61481.43273614813,50713.019281212684,121989.66072102365
narx,trainbr,35,10,17919.059403493222,1.0940043657681367e-07,118607.10747964995
narx,trainbr,35,15,58871.5214813065,59711.68549066544,54150.59990490868
narx,trainbr,35,20,65321.87305952082,48905.401546890535,157566.80822572912
narx,trainbr,35,25,22264.27007825736,1.08750905402526e-07,147368.26385071143
narx,trainbr,35,30,58983.43628703631,52274.62834454033,96680.54758296603
narx,trainbr,35,35,57972.143924580174,52297.779696565,89856.66672961779
narx,trainbr,35,40,58456.46064608548,55721.785521122976,73822.73039587459
narx,trainbr,35,5,50570.57822084856,1.27371794322784e-23,334729.065366569
narx,trainbr,40,1,55778.05688500026,40975.19247632961,140154.38401442286
narx,trainbr,40,10,17335.08454817881,1.9288079947312688e-10,116145.06647279696
narx,trainbr,40,15,16864.166317944284,3.509210536787249e-07,112989.91432822644
narx,trainbr,40,20,32283.40808398343,11730.956520055888,149432.38199837034
narx,trainbr,40,25,56259.99836066962,43160.72095372114,130925.87958027625
narx,trainbr,40,30,49113.73193796655,33920.78410189018,135713.53460360167
narx,trainbr,40,35,53904.08599512232,47129.65084193682,92518.36636827963
narx,trainbr,40,40,51356.50813114036,36272.591557057814,137334.83260341085
narx,trainbr,40,5,18498.91309700404,2.850817653017989e-11,123942.71774992699
narx,trainbr,5,1,225823.88805165273,225441.3408999245,228027.3596456071
narx,trainbr,5,10,49604.40648461066,20388.74169373696,217886.63568004328
narx,trainbr,5,15,45896.49912948488,15446.038785226723,221291.150712412
narx,trainbr,5,20,39912.43540021212,12281.850498639167,199064.60443327235
narx,trainbr,5,25,39674.00082596385,4718.355554667459,241018.51758863105
narx,trainbr,5,30,38212.14236603206,14242.632648409575,176276.5183395375
narx,trainbr,5,35,53435.00842422785,17717.334178641908,259168.8120788027
narx,trainbr,5,40,39118.14857479009,6239.937255567679,228496.64577351089
narx,trainbr,5,5,67176.97480677631,41792.4501474034,213391.83684476427
narx,trainlm,10,1,133852.64340248078,130788.37832168887,105484.39451901428
narx,trainlm,10,10,174169.92089849355,132468.65437196448,367937.32325173187
narx,trainlm,10,15,93398.72649905576,17098.753788150145,451489.0723992321
narx,trainlm,10,20,690174.665481483,695800.5657359855,740107.8890315393
narx,trainlm,10,25,100135.71720822359,55541.43968667487,296927.6193967328
narx,trainlm,10,30,56307.321211563074,4698.028287061556,250027.7522079825
narx,trainlm,10,35,120668.99024207011,70271.0364765119,344133.5990657532
narx,trainlm,10,40,253610.07904046442,6775.366599125396,1568255.4386706841
narx,trainlm,10,5,141270.85139732074,75029.720284227,520994.7426662716
narx,trainlm,15,1,85765.63443926707,81420.06524033156,124589.24057434453
narx,trainlm,15,10,91638.30872366096,52484.28771269173,216444.05124093406
narx,trainlm,15,15,80908.09953916278,54063.02644660168,192061.95732780558
narx,trainlm,15,20,149980.42099682766,128115.96132416188,272016.75502880645
narx,trainlm,15,25,92148.69450115734,2.2690476054973307e-24,537280.095221929
narx,trainlm,15,30,183498.08612476426,163758.7837223486,261481.4832417341
narx,trainlm,15,35,38980.60917338549,8653.898157357522,170183.46091790983
narx,trainlm,15,40,75907.20881407255,12850.06185902241,329492.5994237413
narx,trainlm,15,5,186503.17708905172,176993.2123494528,151681.46418089748
narx,trainlm,1,1,425346.6509702579,401993.72895606456,485526.7864632242
narx,trainlm,1,10,284717.7975615741,263325.68489930296,335274.0129194918
narx,trainlm,1,15,503465.1507980666,570307.3870380016,304815.75569365657
narx,trainlm,1,20,595382.5932292162,605601.9354307107,580478.8565747153
narx,trainlm,1,25,279070.1103185849,197799.90168329809,674065.8621524157
narx,trainlm,1,30,229754.69028794608,179290.3981396815,504929.75148747757
narx,trainlm,1,35,130646.8689171592,105248.61890222062,268157.4972778504
narx,trainlm,1,40,424062.226133065,295506.9310504527,859519.3632776737
narx,trainlm,1,5,343820.34127216315,345212.6181391597,358059.90475682204
narx,trainlm,20,1,496312.3438712217,473178.0391432126,694223.1941123039
narx,trainlm,20,10,79492.58499538027,30201.96039305008,323232.37595693674
narx,trainlm,20,15,131156.30107509144,98634.40078364377,292832.9833080062
narx,trainlm,20,20,56203.75528600504,67.73770629814409,173026.05503547698
narx,trainlm,20,25,41769.950779011335,1426.9125324234296,229529.4910194848
narx,trainlm,20,30,60186.573970852776,0.0003377717965540469,366358.24902506545
narx,trainlm,20,35,49239.55591462616,0.10669375130000376,199826.4727813964
narx,trainlm,20,40,63827.65962021615,2827.626516950775,242853.60659073628
narx,trainlm,20,5,58324.82440615082,21146.781146763868,258710.4650983559
narx,trainlm,25,1,196009.05013492604,206221.13548212696,162679.6234283802
narx,trainlm,25,10,160417.29809308492,125111.61434415149,378841.3447405225
narx,trainlm,25,15,56638.15550459129,0.0005210204851412453,262674.35127029114
narx,trainlm,25,20,24159.685177428222,520.5096711129788,143017.54708544508
narx,trainlm,25,25,42663.98575404942,36.24455019443046,235692.3789542704
narx,trainlm,25,30,28491.815505101542,0.2310563719834255,148202.6233504189
narx,trainlm,25,35,47284.277721523744,0.008587973421864003,259480.8427373942
narx,trainlm,25,40,61632.730729188974,0.019661110651037855,403928.92565711046
narx,trainlm,25,5,92622.70562184668,85418.4504360522,133143.0888746233
narx,trainlm,30,1,370821.33959388756,334834.75644577463,449255.2415033853
narx,trainlm,30,10,65247.5529536004,6397.646425531108,364531.7468913412
narx,trainlm,30,15,47717.473895232804,24712.063953225497,157123.66839303574
narx,trainlm,30,20,36492.02195250346,13560.089353312687,109210.5391898062
narx,trainlm,30,25,41495.640539490916,0.8824278679146553,240373.5307546225
narx,trainlm,30,30,73044.92944733198,15473.357779331298,317728.6885764516
narx,trainlm,30,35,34342.07565287227,2.3925300108734847e-24,143298.88576616507
narx,trainlm,30,40,491875.46989198937,455619.649043727,764612.7011191795
narx,trainlm,30,5,292904.52166155534,269283.67370668106,431245.80387494026
narx,trainlm,35,1,183594.5904643175,154136.6313069537,322233.8199943892
narx,trainlm,35,10,80344.04139053146,52645.38916122734,230673.8073213097
narx,trainlm,35,15,280702.7063204556,307266.25672704173,186170.65052192466
